CODE BARRE;ARTICLE;CODE;DESIGNATION_2;CODE_SELECTION;LOT;QTE;super Gros;demi gros;pharmacien;PPA;PRIX_SOLDE;PRIX_MIN;LABORATOIRE;fournisseur;ZONE;POIDS;CBM;CONDITIONNEMENT;QTE_STOCK_ALERTE;DATE_DERNIER_ACHAT;DATE_DERNIERE_VENTE;ART_FAMILLE_FR;OK_BLOQUE_VENTE;N°ARTICLE;N°LOT;
000183;POUDRE BICARBONATE   THERALAB    100 GR;BICA0001;;          ;;523;54;55;57.5;0;51;52;;14;Z4-C4;0.1;0.01;;0;23/12/2024;10/02/2025;ANTI SEPTIQUE       ;N;554;554;
000054;HUILE D'AMANDE DOUX  THERALAB      60 ML;HUAM0001;;          ;;0;127.2;129.6;134.4;0;120;123.6;;14-28;Z7-D6;0.1;0.01;;0;28/05/2024;28/01/2025;ANTI SEPTIQUE       ;N;555;555;
000176;HUILE DE RICIN    THERALAB      60 ML;HURI0002;;          ;;69;74.2;75.6;78.47;120;70;72.1;;14;Z7-D7;0.1;0.01;;0;06/12/2022;15/02/2025;ANTI SEPTIQUE       ;N;556;556;
000153;CALMENT DENTAIRE LIQUIDE THERALAB  BT/20;CADE0001;;          ;;280;58.3;59.4;63.25;0;55;56.65;;14;Z3-L4;0.1;0.01;;0;15/01/2025;10/02/2025;ANTI SEPTIQUE       ;N;557;557;
000160;CALMENT DENTAIRE PATE THERALAB  BT/20;CADE0002;;          ;;260;58.3;59.4;63.25;0;55;56.65;;14;Z3-J5;0.1;0.01;;0;15/01/2025;10/02/2025;ANTI SEPTIQUE       ;N;558;558;
000404;EAU DE ROSE THERALAB    VAPO   250 ML;EARO0001;;          ;;0;68.9;70.2;92;150;65;66.95;;14;Z3-M8;0.1;0.01;;0;31/03/2022;27/06/2024;COSMETIC            ;N;559;559;
;POMMADE COCHON  THERALAB     08 GR;POCO0001;;          ;;39;68.25;71.5;75;0;65;66.95;;14;Z1-D5;0.1;0.01;;0;16/01/2025;05/02/2025;ANTI SEPTIQUE       ;N;560;560;
000261;SHP    BALSAMINE    B1     240 ML;SHBA0001;;          ;;0;105.88;107.88;120;0;101.5;102.89;;13;Z7-A7;0.1;0.01;;0;15/02/2025;05/08/2024;COSMETIC            ;N;561;561;
978828;CHAUSSETTE VARISAN    T 01    CL  03;CHVA0001;COMPRESSION MOYENNE;          ;          ;1;2775;2854.29;2960;0;2669.29;2722.15;;CF03-29;SR;0.1;0.01;;0;09/12/2024;18/11/2024;PARA MEDICALE       ;N;562;562;
978835;CHAUSSETTE VARISAN    T 02    CL  02;CHVA0002;COMPRESSION MOYENNE;          ;          ;1;2775;2854.29;2907.15;0;2669.29;2722.15;;28;SR;0.1;0.01;;0;26/09/2024;30/07/2024;PARA MEDICALE       ;N;563;563;
978842;CHAUSSETTE VARISAN    T 03    CL  02;CHVA0003;COMPRESSION MOYENNE;          ;          ;1;2801.43;2854.29;2907.15;0;2642.86;2722.15;;CF03-29;SR;0.1;0.01;;0;07/12/2023;04/12/2023;PARA MEDICALE       ;N;564;564;
978859;CHAUSSETTE VARISAN    T 04    CL  02;CHVA0004;COMPRESSION MOYENNE;          ;          ;0;3085.71;3142.85;3200;0;2942.85;3000;;CF03-29;SR;0.1;0.01;;0;31/10/2024;19/02/2025;PARA MEDICALE       ;N;565;565;
978866;CHAUSSETTE VARISAN    T 05    CL  02;CHVA0005;COMPRESSION MOYENNE;          ;          ;0;2801.43;2854.29;2907.15;3488.58;2642.86;2722.15;;CF03-29;SR;0.1;0.01;;0;13/07/2023;16/02/2025;PARA MEDICALE       ;N;566;566;
240634;BAS CUISSE  VARISAN    T 01    CL  02;BAVA0001;COMPRESSION MOYENNE;          ;          ;2;4694.28;4782.86;4871.43;0;4428.57;4561.43;;CF03-29;SR;0.1;0.01;;0;21/09/2023;05/06/2023;PARA MEDICALE       ;N;567;567;
240641;BAS CUISSE  VARISAN    T 02    CL  02;BAVA0002;COMPRESSION MOYENNE;          ;          ;3;5211.17;5307.68;5355.93;0;4873.41;5066.42;;CF03-29;SR;0.1;0.01;;0;07/11/2024;25/06/2024;PARA MEDICALE       ;N;568;568;
000353;BALSA CALM         240 ML;BACA0002;CRM EMOLLIANTE;          ;;40;464.92;473.69;526.01;650;438.6;451.76;;13;Z7-D8;0.1;0.01;;0;17/02/2025;06/01/2025;COSMETIC            ;N;569;569;
240658;BAS CUISSE  VARISAN    T 03    CL  02;BAVA0003;COMPRESSION MOYENNE;          ;          ;3;5114.67;5211.17;5307.68;0;4873.41;5066.42;;CF03-29;SR;0.1;0.01;;0;07/11/2024;16/02/2025;PARA MEDICALE       ;N;570;570;
240665;BAS CUISSE  VARISAN    T 04    CL  02;BAVA0004;COMPRESSION MOYENNE;          ;          ;4;5114.78;5211.28;5307.79;0;4873.51;5066.52;;CF03-29;SR;0.1;0.01;;0;07/11/2024;12/03/2024;PARA MEDICALE       ;N;571;571;
000612;GEL ECHOGRAPHIE BLEU  BALSAMINE    240ML;GEEC0001;;          ;          ;0;121.9;124.2;132.25;200;115;118.45;;13;Z3-K5;0.1;0.01;;0;25/03/2022;11/07/2022;PARA MEDICALE       ;N;572;572;
240672;BAS CUISSE  VARISAN    T 05    CL  02;BAVA0005;COMPRESSION MOYENNE;          ;          ;2;5211.28;5307.79;5307.79;0;4873.51;5066.52;;CF03-29;SR;0.1;0.01;;0;07/11/2024;11/11/2024;PARA MEDICALE       ;N;573;573;
000285;GEL HYDRO ALCOOLIQUE   BALSAMINE  115 ML;GEHY0001;;          ;;0;158.84;161.84;170;200;149.85;154.35;;13;Z7-A7;0.1;0.01;;0;05/07/2023;15/01/2024;ANTI SEPTIQUE       ;N;574;574;
000308;GEL HYDRO ALCOOLIQUE   BALSAMINE  500 ML;GEHY0002;;          ;;0;477.78;486.8;520;750;450.74;464.26;;13;Z3-K5;0.1;0.01;;0;25/03/2022;02/08/2023;ANTI SEPTIQUE       ;N;575;575;
000421;SAVON LIQUIDE     BALSAMINE      500 ML;SALI0001;;          ;          ;0;137.75;140.35;160;200;129.95;133.85;;13;Z3-K5;0.1;0.01;;0;25/03/2022;05/02/2023;COSMETIC            ;N;576;576;
010018;GAINE ABDOMINALE SAVET   T   S;GASA0001;;          ;          ;15;314.93;320.87;335.72;0;297.1;306.01;;15;Z9;0.1;0.01;;0;16/01/2025;04/11/2024;ORTHOPEDIE          ;N;577;577;
970259;BAS CUISSE  VARISAN    T 01    CL  03;BAVA0006;COMPRESSION FORTE;          ;          ;2;4694.28;4782.86;5092.86;0;4428.57;4561.43;;29;SR;0.1;0.01;;0;13/07/2023;05/06/2023;PARA MEDICALE       ;N;578;578;
010360;CEINTURE LOMBAIRE SAVET   T   M;CLSA0001;;          ;          ;97;1550.61;1579.32;1651.11;0;1435.75;1478.82;;15;Z9;0.1;0.01;;0;16/01/2025;05/02/2025;ORTHOPEDIE          ;N;579;579;
970266;BAS CUISSE  VARISAN    T 02    CL  03;BAVA0007;COMPRESSION FORTE;          ;          ;1;4543.06;4628.43;4766.66;0;4376.66;4414.36;;28;SR;0.1;0.01;;0;05/09/2024;24/11/2024;PARA MEDICALE       ;N;580;580;
010032;CEINTURE  DE GROSSESSE SAVET;CGSA0001;;          ;          ;50;572.84;583.45;609.97;0;530.41;546.32;;15;Z9;0.1;0.01;;0;01/08/2023;27/01/2025;ORTHOPEDIE          ;N;581;581;
010049;CEINTURE ABDOMINALE 23 CM SAVET;CASA0001;;          ;          ;275;518.26;527.86;551.85;0;479.87;494.27;;15;ZZ10;0.1;0.01;;0;13/01/2025;17/02/2025;ORTHOPEDIE          ;N;582;582;
970273;BAS CUISSE  VARISAN    T 03    CL  03;BAVA0008;COMPRESSIONE FORTE;          ;          ;1;4500;4628.57;4714.28;0;4328.57;4414.28;;CF03-29;SR;0.1;0.01;;0;05/09/2024;05/02/2025;PARA MEDICALE       ;N;583;583;
010063;CEINTURE OMBILICALE SAVET;COSA0019;;          ;          ;92;120.38;122.66;128.33;0;113.57;116.98;;15;ZZ10;0.1;0.01;;0;13/01/2025;10/02/2025;ORTHOPEDIE          ;N;584;584;
010377;CEINTURE CLAVICULAIRE SAVET   T   M;CCSA0001;;          ;          ;11;552.78;563.01;588.6;0;511.83;527.18;;15;ZZ10;0.1;0.01;;0;16/01/2025;10/02/2025;ORTHOPEDIE          ;N;585;585;
970952;COLLANT  VARISAN    T 01    CL  02;COVA0001;COMPRESSION MOYENNE;          ;          ;1;5148.57;5245.71;5342.85;0;4857.14;5002.85;;CF03-29;SR;0.1;0.01;;0;08/08/2024;08/08/2024;PARA MEDICALE       ;N;586;586;
010070;GENOUILLERE   SIMPLE SAVET   T   S;GSSA0001;;          ;          ;12;142.16;144.79;151.37;0;131.63;135.58;;15;Z9;0.1;0.01;;0;16/01/2025;17/02/2025;ORTHOPEDIE          ;N;587;587;
010100;GENOUILLERE   ROTULIENNE  SAVET   T   S;GRSA0001;;          ;          ;66;185.27;188.71;197.28;0;171.55;176.7;;15;ZZ10;0.1;0.01;;0;16/01/2025;17/02/2025;ORTHOPEDIE          ;N;588;588;
010117;GENOUILLERE  REGLABLE  SAVET   T   S/M;GESA0001;;          ;          ;160;241.4;245.87;257.05;0;225.76;234.7;;15;Z9;0.1;0.01;;0;16/01/2025;17/02/2025;ORTHOPEDIE          ;N;589;589;
970969;COLLANT  VARISAN    T 02    CL  02;COVA0002;;          ;          ;1;5100;5342.85;5440;0;4905.71;5002.85;;CF03-29;SR;0.1;0.01;;0;26/09/2024;12/08/2024;PARA MEDICALE       ;N;590;590;
010124;CUISSARD  SAVET    T    S;CUSA0001;;          ;          ;17;143.38;146.04;152.67;0;132.76;136.74;;15;Z9;0.1;0.01;;0;01/08/2023;18/05/2024;ORTHOPEDIE          ;N;591;591;
010131;JAMBIERE SAVET   T   S;JASA0001;;          ;          ;8;133.14;138.16;148.21;0;125.6;129.37;;15;Z9;0.1;0.01;;0;16/01/2025;25/07/2024;ORTHOPEDIE          ;N;592;592;
970976;COLLANT  VARISAN    T 03    CL  02;COVA0003;COMPRESSION MOYENNE;          ;          ;1;5148.57;5245.71;5342.85;0;4857.14;5002.85;;CF03-29;SR;0.1;0.01;;0;13/07/2023;18/09/2024;PARA MEDICALE       ;N;593;593;
;ATTELLE DE CHEVILLE SAVET;ATSA0001;;          ;          ;0;0;0;0;0;0;0;;15;;0.1;0.01;;0;;;ORTHOPEDIE          ;N;594;594;
970983;COLLANT  VARISAN    T 04    CL  02;COVA0004;COMPRESSION MOYENNE;          ;          ;1;5245.71;5342.85;5440;0;4905.71;5002.85;;29;SR;0.1;0.01;;0;26/09/2024;03/07/2023;PARA MEDICALE       ;N;595;595;
010148;CHEVILLERE SIMPLE SAVET   T   S;CHSS0001;;          ;          ;71;108.79;110.8;115.84;0;100.73;103.75;;15;Z9;0.1;0.01;;0;16/01/2025;17/02/2025;ORTHOPEDIE          ;N;596;596;
010155;CHEVILLERE REGLABLE   SAVET;CHSA0006;;          ;          ;284;133.4;135.87;145.39;0;123.52;127.23;;15;Z9;0.1;0.01;;0;13/01/2025;13/02/2025;ORTHOPEDIE          ;N;597;597;
970990;COLLANT  VARISAN    T 05    CL  02;COVA0005;COMPRESSION MOYENNE;          ;          ;1;5100;5245.71;5342.85;0;4905.71;5002.85;;CF03-29;SR;0.1;0.01;;0;07/12/2023;10/12/2024;PARA MEDICALE       ;N;598;598;
010179;COUDIERE SAVET   T   S;COSA0005;;          ;          ;12;118.58;120.78;129.3;0;109.8;113.09;;15;Z9;0.1;0.01;;0;16/01/2025;17/02/2025;ORTHOPEDIE          ;N;599;599;
010193;SERRE POIGNET SIMPLE SAVET   T   S;SPSA0001;;          ;          ;15;94.02;95.77;100.12;0;87.06;89.67;;15;Z9;0.1;0.01;;0;10/07/2024;17/02/2025;ORTHOPEDIE          ;N;601;601;
010209;SERRE POIGNET   REGLABLE    SAVET;SPSA0005;;          ;          ;281;82.3;83.82;89.4;0;76.2;78.49;;15;Z9;0.1;0.01;;0;16/01/2025;16/02/2025;ORTHOPEDIE          ;N;602;602;
010216;SERRE POIGNET DE MAINTIEN    SAVET REGLALE;SPSA0004;;          ;          ;334;191.21;198.43;207.45;0;180.39;185.8;;15;Z9;0.1;0.01;;0;13/01/2025;17/02/2025;ORTHOPEDIE          ;N;603;603;
010223;SERRE POUCE   SAVET   T   S/M;SPSA0010;;          ;          ;72;142.47;145.11;151.71;0;131.92;135.88;;15;ZZ10;0.1;0.01;;0;16/01/2025;10/02/2025;ORTHOPEDIE          ;N;604;604;
;ATTELLE DE POUCE    SAVET;APSA0001;;          ;          ;0;0;0;0;0;0;0;;;Z9;0.1;0.01;;0;;;ORTHOPEDIE          ;N;605;605;
010247;COLLIER CERVICAL SOUPLE SAVET   T   S;CSSA0001;;          ;          ;18;371.43;378.31;395.51;0;347.36;361.12;;15;Z8-C1;0.1;0.01;;0;16/01/2025;06/02/2025;ORTHOPEDIE          ;N;606;606;
010261;COLLIER CERVICAL RIGIDE SAVET   T    S;CCRS0001;;          ;          ;29;590.94;601.89;629.25;0;552.64;574.53;;15;Z9;0.1;0.01;;0;16/01/2025;04/07/2024;ORTHOPEDIE          ;N;607;607;
010254;COLLIER CERVICAL RENFORCE SAVET   T   XL;CRSA0009;;          ;          ;22;511.78;521.43;550.4;0;482.81;497.29;;15;Z9;0.1;0.01;;0;16/01/2025;17/02/2025;ORTHOPEDIE          ;N;608;608;
010285;EPAULIERE   SAVET   T   S;EPSA0001;;          ;          ;21;237.32;241.71;259.29;0;219.74;226.33;;15;Z9;0.1;0.01;;0;16/01/2025;09/12/2024;ORTHOPEDIE          ;N;609;609;
010292;PORTE PLATRE ADULTE     SAVET;PPSA0001;;          ;          ;48;269.77;274.77;294.75;0;249.79;257.28;;15;Z9;0.1;0.01;;0;13/01/2025;10/02/2025;ORTHOPEDIE          ;N;610;610;
010308;PORTE PLATRE ENFANT    SAVET;PPSA0002;;          ;          ;47;208.2;218.12;233.98;0;198.29;204.24;;15;Z9;0.1;0.01;;0;13/01/2025;23/01/2025;ORTHOPEDIE          ;N;611;611;
;BANDOULIERE  SAVET;BASA0001;;          ;          ;0;0;0;0;0;0;0;;15;;0.1;0.01;;0;;;ORTHOPEDIE          ;N;612;612;
300047;# COTON TIGE COTIFLEX    BT/200;COTI0002;;          ;          ;0;77.38;78.84;82;120;73;75.19;;4-2;Z5;0.1;0.01;;0;15/10/2023;19/05/2024;HYGIENNE            ;N;613;613;
000013;SHP POULLOX ANTI POUX 220 ML;SHPO0001;AVEC PEIGNE, COULEUR ROSE;          ;;145;164.3;167.4;175.26;220;155.01;159.64;;CF03-28-62-29;Z3-F7;0.1;0.01;;0;15/01/2025;20/01/2025;PARA PHRMACIE       ;N;614;614;
000020;LOTION POULLOX ANTI POUX 220 ML;LOPO0001;AVEC PEIGNE, COULEUR ROUGE;          ;22        ;85;164.41;167.51;175.95;220;155.1;159.75;;CF03-28-62-29;Z3-F7;0.1;0.01;;0;15/01/2025;20/01/2025;PARA PHRMACIE       ;N;615;615;
000020;LOTION POULLOX ANTI POUX 220 ML;LOPO0001;AVEC PEIGNE, COULEUR ROUGE;          ;          ;0;164.41;167.51;172.94;219.99;155.1;159.75;;CF03-28-62-29;Z3-F7;0.1;0.01;;0;25/04/2023;;PARA PHRMACIE       ;O;615;2889;
000229;SUCRE MAGILIGHT 50 SACS  COLIS 30;MAGI0001;BOITE DE 50 SACHET;          ;0422      ;24;98.58;100.44;104.16;0;93;95.79;;26-CF03-28-16;Z3-A1;0.1;0.01;;0;09/01/2025;12/02/2025;COMPLEMENT ALLIMENTA;N;616;616;
862474;# LINGETTE NIVEA FRESH & PURE PACK 63;LINI0001;COULEUR BLEU MARINE;          ;          ;0;588.88;599.99;611.1;0;555.55;572.22;;40-CF03-92-16;Z5-B3;0.1;0.01;;0;31/01/2024;28/04/2024;BEBE                ;N;617;617;
928177;# LINGETTE NIVEA SOFT & CREAM PACK 63;LINI0002;;          ;          ;0;710.2;716.9;735;850;670;690.1;;40-CF03-92;Z5-B2;0.1;0.01;;0;24/05/2023;11/12/2023;BEBE                ;N;618;618;
861446;# LINGETTE NIVEA PURE & SENSITIVE PACK 63;LINI0003;COULEUR VERT;          ;          ;0;371;378;385;475;350;360.5;;CF03;Z3-L7;0.1;0.01;;0;27/03/2022;06/11/2022;BEBE                ;N;619;619;
260105;# LINGETTE COMFORT PACK 63;LICO0001;;          ;          ;0;127.2;129.6;136.08;180;120;123.6;;CF03;Z3-K7;0.1;0.01;;0;27/03/2022;01/08/2022;BEBE                ;N;620;620;
000142;BB SEPTHOL 225 ML;BBSE0001;CL/35;          ;0500      ;225;185.34;192.47;196.03;0;178.19;183.56;;CF03-62-16-29-109;Z4;0.1;0.01;;0;25/12/2024;18/02/2025;PARA PHRMACIE       ;N;621;621;
000159;GEL SEPTHOL 50 GR;GESE0001;;          ;70        ;0;220.97;225.14;229.31;275.17;208.46;214.69;;CF03-62-16-29;Z3-D5;0.1;0.01;;0;26/09/2024;16/12/2024;PARA PHRMACIE       ;N;622;622;
000012;SOLUTION SEPTIDINE DERMIQUE 10 % 125 ML;SEPT0001;SOLUTION DESINFECTANTE;          ;A1059     ;0;187.43;190.97;194.5;233.4;176.82;182.12;05/25;CF03-29-16-62;Z4;0.1;0.01;;0;10/07/2024;01/09/2024;ANTI SEPTIQUE       ;N;623;623;
SALE 500 ML;#   SERUM SALE 0.9 % 500 ML      @;SESA0002;BIOLYSE;          ;;71;113.38;128.35;155;0;106.96;110.18;;CF01-CF03-28-67-29-1;Z5;0.1;0.01;;0;25/12/2024;20/02/2025;PARA PHRMACIE       ;N;624;624;
000179;EOSINE AQUEUSE BALSAMINE  02 %     60 ML BT / 30 FL;EOAQ0003;21/12/23;          ;;1;49.74;50.67;53.49;80;46.92;48.33;;13;Z5;0.1;0.01;;0;29/07/2024;09/12/2024;ANTI SEPTIQUE       ;N;625;625;
900014;PROVIVO CHARBONEL PLUS BT/30  10% UG;CHPL0002;;          ;038       ;84;547.67;558;568.34;682;516.67;532.17;;21-CF03-28-16-103-29;Z3-L5;0.1;0.01;;0;23/10/2024;13/01/2025;COMPLEMENT ALLIMENTA;N;626;626;
200313;CRM AQUAX DEO 75 GR;CRAQ0001;REDUIT LA TRANSPIRATION;          ;0043      ;8;1022.79;1042.09;1061.39;1273.67;964.9;993.85;;95-1;Z6-C3;0.1;0.01;;0;21/05/2024;17/02/2025;DERMATOLOGIE        ;N;627;627;
200086;CRM AQUAX WHITENING 50 GR;CRAQ0002;CREME ÉCLAIRCISSANTE HYDRATANTE;          ;;7;2381.28;2426.21;2471.14;2965.37;2246.49;2313.88;;CF03-29-28-1-95-16;Z6-C3;0.1;0.01;;0;25/11/2024;15/01/2025;DERMATOLOGIE        ;N;628;628;
000742;EDC    BELLE      750 ML;ECBE0001;EAU DE COLOGNE BALSAMINE;          ;          ;12;604.81;616.01;627.21;0;576.81;588.01;;13;Z4-E4;0.1;0.01;;0;17/02/2025;27/08/2023;COSMETIC            ;N;629;629;
000605;HUILE DE MASSAGE BALSAMINE        500 ML;HUMA0001;;          ;;0;672.78;685.48;698.17;837.8;634.7;653.74;;13;Z1-B7;0.1;0.01;;0;25/07/2023;19/02/2024;COSMETIC            ;N;631;631;
400015;SUPRADYN ENERGIE CITRON BT / 10;SUPR0003;;          ;;45;1084.09;1104.55;1125;1350;1032.99;1053.41;;106-28-28-95-1-16;Z3-D4;0.1;0.01;;0;26/12/2024;17/02/2025;COMPLEMENT ALLIMENTA;N;632;632;
001024;CRM GLYCERINE PRODERMA 100 GR;CRGL0001;METALIQUE ROUGE;          ;;2;314.99;323.99;329.99;0;302.99;308.99;;CF03-28-29-16-95-1;Z6-B3;0.1;0.01;;0;31/12/2024;10/02/2025;COSMETIC            ;N;633;633;
216403;DENT SENSODYNE ANTI CARIES 75 ML;DESE0001;SOIN ANTI CARIES , COULEUR ORANGE;          ;          ;0;954;972;1035.04;0;900;927;;CF03-16-54;Z3-E4;0.1;0.01;;0;26/12/2024;17/02/2025;COSMETIC            ;N;634;634;
100108;DENT SENSODYNE SOIN COMPLET 75 ML;DESE0002;COULEUR BEIGE;          ;          ;0;1029.06;1035;1035;0;989.82;1009.44;;52-54-16-113;Z3-C7;0.1;0.01;;0;26/12/2024;18/02/2025;COSMETIC            ;N;635;635;
110435;DENT SENSODYNE SOIN GENCIVES 75 ML;DESE0003;COULEUR MAUVE;          ;          ;46;1022.96;1015;1035.04;0;939.31;976.5;;CF03-16-28-29-52;Z3-I4;0.1;0.01;;0;26/12/2024;18/02/2025;COSMETIC            ;N;636;636;
070951;DENT SENSODYNE ACT SENSIBILITE 75ML;DESE0004;ACTION SENSIBILITÉ, COULEUR ROUGE;          ;2056      ;0;945;990;1035;0;900;927;;CF03-28-29;Z3-G6;0.1;0.01;;0;25/10/2023;01/04/2024;COSMETIC            ;N;637;637;
084521;DENT SENSODYNE ANTI TARTRE 75 ML;DESE0005;COULEUR BLEU;          ;          ;0;556.5;567;577.5;693;525;540.75;;28-16;Z3-G6;0.1;0.01;;0;17/03/2024;01/04/2024;COSMETIC            ;N;638;638;
248952;DENT PARODONTAX ORIGINAL ROUGE 75 ML;DEPA0001;COULEUR ROUGE;          ;71736     ;0;819;873.6;897;0;787.8;803.4;;CF03-16-28-29;Z3-I6;0.1;0.01;;0;28/05/2023;16/10/2023;COSMETIC            ;N;639;639;
614986;DENT PARODONTAX PROTEC FLUOR  VERT 75 ML;DEPA0002;COULEUR VERT;          ;          ;0;649.24;661.49;685.99;0;612.49;630.86;;CF03-16-28-29;Z3-H6;0.1;0.01;;0;15/02/2024;26/02/2024;COSMETIC            ;N;640;640;
500893;DENT PARODONTAX BLANCHEUR GRIS  75 ML;DEPA0003;;          ;          ;0;779.1;793.8;808.5;1000;735;757.05;;40-CF03-28-16-29;Z3-I6;0.1;0.01;;0;04/04/2023;18/09/2023;COSMETIC            ;N;641;641;
041555;DENT PARODONTAX PROT COMPLET 75 ML;DEPA0004;PROTECTION COMPLET FRAICHEUR INTENSE;          ;          ;0;923.79;941.22;958.65;1150.38;871.5;897.64;;CF03-16-28;Z3-I6;0.1;0.01;;0;04/04/2023;18/09/2023;COSMETIC            ;N;642;642;
501166;DENT PARODONTAX  FRAICHEUR INTENSE 75 ML;DEPA0005;FRAICHEUR INTENSE;          ;;0;779.11;793.81;808.51;970.21;735.01;757.06;;CF03-16-29;Z3-I6;0.1;0.01;;0;13/07/2023;01/01/2024;COSMETIC            ;N;643;643;
059692;DENT AQUAFRESH BRILLANCE 75 ML;DEAQ0001;BLANCHEUR ET BRILLANCE;          ;          ;0;233.2;237.6;247;300;220;226.6;;CF03;SR;0.1;0.01;;0;27/03/2022;31/08/2022;COSMETIC            ;N;644;644;
059395;DENT AQUAFRESH BLANCH INTENSE 75ML;DEAQ0002;BLANCHEUR INTENSE, COULEUR BLEU;          ;          ;0;233.2;237.6;247;300;220;226.6;;CF03;Z3-H6;0.1;0.01;;0;27/03/2022;22/06/2022;COSMETIC            ;N;645;645;
059807;DENT AQUAFRESH SOIN COMPLET 75 ML;DEAQ0003;BLANCHEUR SOIN COMPLET, COULEUR DORÉ;          ;          ;0;275.6;280.8;288.6;350;260;267.8;;CF03;Z3-H6;0.1;0.01;;0;27/03/2022;22/06/2022;COSMETIC            ;N;646;646;
926687;DENT AQUAFRESH MENTHE FRAICHE 75ML;DEAQ0004;TRIPLE PROTECTION;          ;          ;0;275.6;280.8;290;360;260;267.8;;40-CF03-10;Z3-H6;0.1;0.01;;0;13/04/2023;15/01/2024;COSMETIC            ;N;647;647;
112116;CRM NATALOE ARGAN SPF15 50 ML;NATA0001;HYDRTANT, ANTIOXYDANT, REPRATEUR;          ;;0;2204.8;2246.4;2288;2860;2080;2142.4;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;648;648;
112079;CRM NATALOE ESCALIF ECLAIRCIS SPF15 50ML;NATA0002;SANS PARABEN SANS HUILE MINERALES;          ;;0;2775.27;2827.63;2880;3600;2618.18;2696.73;;CF03;SR;0.1;0.01;;0;04/06/2023;01/03/2023;DERMATOLOGIE        ;N;649;649;
112161;GEL NATALOE ESCALIFT ALOE VERA SPF15;NATA0003;SOINS VISAG EXTRAIT D'ESCARGOT,ALOE VERA;          ;;0;2204.8;2246.4;2288;2860;2080;2142.4;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;650;650;
112178;CRM NATALOE CAVIAR ANTI RIDES 50 ML;NATA0004;HYDRATANTE, REGENERATRICE;          ;;0;2035.2;2073.6;2112;2640;1920;1977.6;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;651;651;
112475;SERUM NATALOE ANTI ACNE;NATA0005;HYDRATANT, REÉQUILIBRE LA PEAU ACNEIQUE;          ;;0;1541.82;1570.91;1600;2000.01;1454.55;1498.19;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;652;652;
111935;SERUM NATALOE BIOMARINE COLLAGENE;NATA0006;RESTAURE LE COLLAGÈNE DE LA PEAU;          ;;0;3237.82;3298.91;3360;4200.01;3054.55;3146.19;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;653;653;
112635;SERUM NATALOE HYALOE 3;NATA0007;AVEC ACIDE HYLURONIQUE;          ;;0;3307.2;3369.6;3432;4290;3120;3213.6;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;654;654;
112628;SERUM NATALOE VIT C + E;NATA0008;ULTRA ÉCLAIRCISSANT;          ;          ;0;3646.4;3715.2;3784;4730;3440;3543.2;;CF03;SR;0.1;0.01;;0;27/03/2022;27/08/2022;DERMATOLOGIE        ;N;655;655;
020012;CRM DERMAGOR ATOPICALM CORPS 250 ML;ATOP0002;CREME NOURISSANTE;          ;23E028    ;12;1702.89;1735.02;1767.15;0;1606.5;1654.69;;CF03-28-29-16-1;Z6-A9;0.1;0.01;;0;25/11/2024;18/02/2025;DERMATOLOGIE        ;N;656;656;
020043;CRM DERMAGOR COLD CREAM 100 ML;COCR0004;À LA CIRE D'ABEIL, PEAU SÈCHE;          ;;7;1280.74;1317.33;1366.12;0;1231.95;1256.34;;CF03-28-1;Z6-A7;0.1;0.01;;0;13/07/2024;18/09/2024;DERMATOLOGIE        ;N;657;657;
504162;BANDELETTES ANALYSE URINAIRE ARAGEN;BAUR0001;;          ;          ;0;952.97;970.95;989;1186.81;899.03;926;;CF03;SR;0.1;0.01;;0;27/03/2022;01/08/2022;PARA MEDICALE       ;N;658;658;
548323;CRM DERMAGOR SKIN PLAST 40 ML;DERM0004;ANTI AGE, ACTION TONIFIANTE;          ;          ;0;1290.79;1315.15;1400.22;1780;1217.73;1254.26;;CF03;SR;0.1;0.01;;0;27/03/2022;09/10/2022;DERMATOLOGIE        ;N;659;659;
548057;PAIN SURGRAS DERMAGOR;DERM0006;PEAUX SÈCHE;          ;          ;0;946.05;963.9;1026.38;1214.6;892.5;919.28;;CF03;SR;0.1;0.01;;0;27/03/2022;13/07/2022;DERMATOLOGIE        ;N;660;660;
112444;EMULSION NATALOE ANTI CELLULITE;NATA0009;;          ;;0;1696;1728;1760;2200;1600;1648;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;661;661;
112338;EMULSION NATALOE ESCALIFT ECLAIRCISSANTE;NATA0010;;          ;;0;2289.6;2332.8;2376;2970;2160;2224.8;;CF03;SR;0.1;0.01;;0;04/06/2023;;DERMATOLOGIE        ;N;662;662;
112659;GEL NATALOE ALOE ESSENCE;NATA0011;;          ;          ;0;1950.4;1987.2;2024;2530;1840;1895.2;;CF03;SR;0.1;0.01;;0;04/06/2023;01/03/2023;COSMETIC            ;N;663;663;
